Date,New Cases,Link
7/17/2020,12,https://www.co.cowlitz.wa.us/DocumentCenter/View/20755/20200717-Dashboard

7/20/2020,17,https://www.co.cowlitz.wa.us/DocumentCenter/View/20756/20200720-Dashboard

7/21/2020,13,https://www.co.cowlitz.wa.us/DocumentCenter/View/20757/20200721-Dashboard

7/22/2020,5,https://www.co.cowlitz.wa.us/DocumentCenter/View/20758/20200722-Dashboard

7/23/2020,4,https://www.co.cowlitz.wa.us/DocumentCenter/View/20759/20200723-Dashboard

7/24/2020,11,https://www.co.cowlitz.wa.us/DocumentCenter/View/20760/20200724-Dashboard

7/27/2020,22,https://www.co.cowlitz.wa.us/DocumentCenter/View/20761/20200727-Dashboard

7/28/2020,4,https://www.co.cowlitz.wa.us/DocumentCenter/View/20746/20200728-Dashboard

7/29/2020,8,https://www.co.cowlitz.wa.us/DocumentCenter/View/20747/20200729-Dashboard

7/30/2020,1,https://www.co.cowlitz.wa.us/DocumentCenter/View/20748/20200730-Dashboard

7/31/2020,7,https://www.co.cowlitz.wa.us/DocumentCenter/View/20749/20200731-Dashboard

8/3/2020,18,https://www.co.cowlitz.wa.us/DocumentCenter/View/20750/20200803-Dashboard

8/4/2020,3,https://www.co.cowlitz.wa.us/DocumentCenter/View/20751/20200804-Dashboard

8/5/2020,6,https://www.co.cowlitz.wa.us/DocumentCenter/View/20752/20200805-Dashboard

8/6/2020,5,https://www.co.cowlitz.wa.us/DocumentCenter/View/20753/20200806-Dashboard

8/7/2020,10,https://www.co.cowlitz.wa.us/DocumentCenter/View/20766/7-August-Daily-Data-Summary

8/10/2020,14,https://www.co.cowlitz.wa.us/DocumentCenter/View/20777/10-August-Daily-Data-Summary

8/11/2020,9,https://www.co.cowlitz.wa.us/DocumentCenter/View/20785/11-August-Daily-Data-Summary

8/12/2020,0,https://www.co.cowlitz.wa.us/DocumentCenter/View/20789/12-August-Daily-Data-Summary

8/20/2020,2,https://www.co.cowlitz.wa.us/DocumentCenter/View/20860/20-August-Daily-Data-Summary

8/21/2020,2,https://www.co.cowlitz.wa.us/DocumentCenter/View/20887/21-August-Daily-Data-Summary

8/24/2020,5,https://www.co.cowlitz.wa.us/DocumentCenter/View/20890/24-August-Daily-Data-Summary

8/25/2020,4,https://www.co.cowlitz.wa.us/DocumentCenter/View/20895/25-August-Daily-Data-Summary

8/26/2020,1,https://www.co.cowlitz.wa.us/DocumentCenter/View/20910/26-August-Daily-Data-Summary

8/27/2020,2,https://www.co.cowlitz.wa.us/DocumentCenter/View/20926/27-August-Daily-Data-Summary

8/28/2020,5,https://www.co.cowlitz.wa.us/DocumentCenter/View/20932/28-August-Daily-Data-Summary

8/31/2020,8,https://www.co.cowlitz.wa.us/DocumentCenter/View/20934/31-August-Daily-Data-Summary

9/1/2020,2,https://www.co.cowlitz.wa.us/DocumentCenter/View/20940/1-September-Daily-Data-Summary

9/2/2020,3,https://www.co.cowlitz.wa.us/DocumentCenter/View/20947/2-September-Daily-Data-Summary

9/3/2020,3,https://www.co.cowlitz.wa.us/DocumentCenter/View/20957/3-September-Daily-Data-Summary

9/4/2020,4,https://www.co.cowlitz.wa.us/DocumentCenter/View/20965/4-September-Daily-Data-Summary

9/8/2020,16,https://www.co.cowlitz.wa.us/DocumentCenter/View/20967/8-September-Daily-Data-Summary

9/9/2020,0,https://www.co.cowlitz.wa.us/DocumentCenter/View/20972/9-September-Daily-Data-Summary

9/10/2020,2,https://www.co.cowlitz.wa.us/DocumentCenter/View/20974/10-September-Daily-Data-Summary

9/11/2020,2,https://www.co.cowlitz.wa.us/DocumentCenter/View/20981/11-September-Daily-Data-Summary

9/14/2020,6,https://www.co.cowlitz.wa.us/DocumentCenter/View/20982/14-September-Daily-Data-Summary

9/15/2020,1,https://www.co.cowlitz.wa.us/DocumentCenter/View/21105/15-September-Daily-Data-Summary

9/16/2020,5,https://www.co.cowlitz.wa.us/DocumentCenter/View/21112/16-September-Daily-Data-Summary

9/17/2020,12,https://www.co.cowlitz.wa.us/DocumentCenter/View/21117/17-September-Daily-Data-Summary

9/18/2020,5,https://www.co.cowlitz.wa.us/DocumentCenter/View/21147/18-September-Daily-Data-Summary

9/21/2020,28,https://www.co.cowlitz.wa.us/DocumentCenter/View/21153/21-September-Daily-Data-Summary

9/22/2020,14,https://www.co.cowlitz.wa.us/DocumentCenter/View/21158/22-September-Daily-Data-Summary

9/23/2020,4,https://www.co.cowlitz.wa.us/DocumentCenter/View/21167/23-September-Daily-Data-Summary

9/24/2020,5,https://www.co.cowlitz.wa.us/DocumentCenter/View/21174/24-September-Daily-Data-Summary

9/25/2020,7,https://www.co.cowlitz.wa.us/DocumentCenter/View/21187/25-September-Daily-Data-Summary

9/28/2020,7,https://www.co.cowlitz.wa.us//DocumentCenter/View/21190/28-September-Daily-Data-Summary

9/29/2020,19,https://www.co.cowlitz.wa.us//DocumentCenter/View/21207/29-September-Daily-Data-Summary

9/30/2020,0,https://www.co.cowlitz.wa.us//DocumentCenter/View/21210/30-September-Daily-Data-Summary

10/1/2020,4,https://www.co.cowlitz.wa.us//DocumentCenter/View/21218/1-October-Daily-Data-Summary

10/2/2020,2,https://www.co.cowlitz.wa.us//DocumentCenter/View/21224/2-October-Daily-Data-Summary

10/6/2020,6,https://www.co.cowlitz.wa.us//DocumentCenter/View/21237/6-October-Daily-Data-Summary

10/7/2020,3,https://www.co.cowlitz.wa.us//DocumentCenter/View/21239/7-October-Daily-Data-Summary

10/8/2020,3,https://www.co.cowlitz.wa.us//DocumentCenter/View/21246/8-October-Daily-Data-Summary

10/9/2020,0,https://www.co.cowlitz.wa.us//DocumentCenter/View/21249/9-October-Daily-Data-Summary

10/12/2020,14,https://www.co.cowlitz.wa.us//DocumentCenter/View/21251/12-October-Daily-Data-Summary

10/13/2020,3,https://www.co.cowlitz.wa.us//DocumentCenter/View/21259/13-October-Daily-Data-Summary

10/14/2020,2,https://www.co.cowlitz.wa.us//DocumentCenter/View/21261/14-October-Daily-Data-Summary

10/15/2020,5,https://www.co.cowlitz.wa.us//DocumentCenter/View/21263/15-October-Daily-Data-Summary

10/16/2020,7,https://www.co.cowlitz.wa.us//DocumentCenter/View/21269/16-October-Daily-Data-Summary

10/19/2020,16,https://www.co.cowlitz.wa.us//DocumentCenter/View/21298/19-October-Daily-Data-Summary

10/20/2020,10,https://www.co.cowlitz.wa.us//DocumentCenter/View/21308/20-October-Daily-Data-Summary

10/21/2020,6,https://www.co.cowlitz.wa.us//DocumentCenter/View/21314/21-October-Daily-Data-Summary

10/22/2020,3,https://www.co.cowlitz.wa.us//DocumentCenter/View/21321/22-October-Daily-Data-Summary

10/23/2020,6,https://www.co.cowlitz.wa.us//DocumentCenter/View/21327/23-October-Daily-Data-Summary

10/26/2020,8,https://www.co.cowlitz.wa.us//DocumentCenter/View/21329/26-October-Daily-Data-Summary

10/27/2020,6,https://www.co.cowlitz.wa.us//DocumentCenter/View/21333/27-October-Daily-Data-Summary

10/28/2020,1,https://www.co.cowlitz.wa.us//DocumentCenter/View/21350/28-October-Daily-Data-Summary

10/29/2020,10,https://www.co.cowlitz.wa.us//DocumentCenter/View/21354/29-October-Daily-Data-Summary

10/30/2020,9,https://www.co.cowlitz.wa.us//DocumentCenter/View/21370/30-October-Daily-Data-Summary

11/2/2020,20,https://www.co.cowlitz.wa.us//DocumentCenter/View/21372/2-November-Daily-Data-Summary

11/3/2020,16,https://www.co.cowlitz.wa.us//DocumentCenter/View/21375/3-November-Daily-Data-Summary

11/4/2020,8,https://www.co.cowlitz.wa.us//DocumentCenter/View/21377/4-November-Daily-Data-Summary

11/5/2020,17,https://www.co.cowlitz.wa.us//DocumentCenter/View/21383/5-November-Daily-Data-Summary

11/6/2020,16,https://www.co.cowlitz.wa.us//DocumentCenter/View/21391/6-November-Daily-Data-Summary

11/9/2020,48,https://www.co.cowlitz.wa.us//DocumentCenter/View/21394/9-November-Daily-Data-Summary

11/10/2020,24,https://www.co.cowlitz.wa.us//DocumentCenter/View/21404/10-November-Daily-Data-Summary

11/12/2020,37,https://www.co.cowlitz.wa.us//DocumentCenter/View/21442/12-November-Daily-Data-Summary

11/13/2020,17,https://www.co.cowlitz.wa.us//DocumentCenter/View/21443/13-November-Daily-Data-Summary

11/16/2020,59,https://www.co.cowlitz.wa.us//DocumentCenter/View/21446/16-November-Daily-Data-Summary

